,Unnamed: 0,runs,mins,BF,4s,6s,SR,Pos,Dismissal,Inns,opponent,ground,date,match,total
583,605,31,54,38,3,0,81.57,3,lbw,1,WestIndies,Nagpur,21Jan2007,ODI,25246
584,606,0,6,6,0,0,0.00,4,caught,1,WestIndies,Cuttack,24Jan2007,ODI,25246
585,607,60,112,66,2,0,90.90,4,caught,1,WestIndies,Chennai,27Jan2007,ODI,25306
586,608,100,110,76,10,1,131.57,4,notout,1,WestIndies,Vadodara,31Jan2007,ODI,25406
587,610,54,94,61,9,0,88.52,4,stumped,2,SriLanka,Rajkot,11Feb2007,ODI,25460
588,611,1,13,8,0,0,12.50,3,bowled,2,SriLanka,Margao,14Feb2007,ODI,25461
589,612,7,40,26,1,0,26.92,4,caught,1,Bangladesh,PortofSpain,17Mar2007,ODI,25468
590,613,57,46,29,2,4,196.55,6,notout,1,Bermuda,PortofSpain,19Mar2007,ODI,25525
591,614,0,5,3,0,0,0.00,4,bowled,2,SriLanka,PortofSpain,23Mar2007,ODI,25525
592,615,101,274,169,9,0,59.76,4,caught,1,Bangladesh,Chattogram,18May2007,Test,25626
593,616,31,69,50,2,0,62.00,4,bowled,3,Bangladesh,Chattogram,18May2007,Test,25657
594,617,122,354,226,8,1,53.98,4,notout,1,Bangladesh,Mirpur,25May2007,Test,25779
595,618,4,4,3,1,0,133.33,2,bowled,2,Ireland,Belfast,23Jun2007,ODI,25783
596,619,99,199,143,12,0,69.23,2,runout,1,SouthAfrica,Belfast,26Jun2007,ODI,25882
597,620,93,140,106,13,2,87.73,2,bowled,2,SouthAfrica,Belfast,29Jun2007,ODI,25975
598,621,8,10,8,2,0,100.00,2,caught,2,SouthAfrica,Belfast,1Jul2007,ODI,25983
599,622,37,104,78,6,0,47.43,4,lbw,2,England,Lord's,19Jul2007,Test,26020
600,623,16,42,35,3,0,45.71,4,lbw,4,England,Lord's,19Jul2007,Test,26036
601,624,91,259,197,12,0,46.19,4,lbw,2,England,Nottingham,27Jul2007,Test,26127
602,625,1,17,15,0,0,6.66,4,caught,4,England,Nottingham,27Jul2007,Test,26128
603,626,82,298,192,11,0,42.70,4,caught,1,England,TheOval,9Aug2007,Test,26210
604,627,1,13,11,0,0,9.09,4,bowled,3,England,TheOval,9Aug2007,Test,26211
605,628,17,52,33,1,0,51.51,2,caught,2,England,Southampton,21Aug2007,ODI,26228
606,629,99,158,112,15,1,88.39,2,caught,1,England,Bristol,24Aug2007,ODI,26327
607,630,8,42,19,1,0,42.10,2,caught,2,England,Birmingham,27Aug2007,ODI,26335
608,631,55,128,86,9,0,63.95,2,caught,1,England,Manchester,30Aug2007,ODI,26390
609,632,71,87,59,13,0,120.33,2,caught,1,England,Leeds,2Sep2007,ODI,26461
610,633,94,120,81,16,1,116.04,2,caught,2,England,TheOval,5Sep2007,ODI,26555
611,634,30,80,46,4,0,65.21,2,caught,1,England,Lord's,8Sep2007,ODI,26585
612,635,0,9,6,0,0,0.00,2,lbw,2,Australia,Bengaluru,29Sep2007,ODI,26585
613,636,16,43,25,1,1,64.00,2,caught,2,Australia,Kochi,2Oct2007,ODI,26601
614,637,43,119,71,6,0,60.56,2,bowled,2,Australia,Hyderabad(Deccan),5Oct2007,ODI,26644
615,638,79,184,119,7,0,66.38,2,runout,1,Australia,Chandigarh,8Oct2007,ODI,26723
616,639,47,128,73,9,0,64.38,2,caught,1,Australia,Vadodara,11Oct2007,ODI,26770
617,640,72,105,72,9,1,100.00,2,stumped,2,Australia,Nagpur,14Oct2007,ODI,26842
618,641,21,52,36,4,0,58.33,2,bowled,2,Australia,Wankhede,17Oct2007,ODI,26863
619,642,4,14,7,1,0,57.14,2,lbw,2,Pakistan,Guwahati,5Nov2007,ODI,26867
620,643,99,130,91,14,1,108.79,2,caught,1,Pakistan,Mohali,8Nov2007,ODI,26966
621,644,29,54,27,5,0,107.40,2,caught,1,Pakistan,Kanpur,11Nov2007,ODI,26995
622,645,97,149,102,16,0,95.09,2,bowled,2,Pakistan,Gwalior,15Nov2007,ODI,27092
623,646,30,54,27,6,0,111.11,2,caught,2,Pakistan,Jaipur,18Nov2007,ODI,27122
624,647,1,2,1,0,0,100.00,4,runout,2,Pakistan,Delhi,22Nov2007,Test,27123
625,648,56,178,110,9,0,50.90,4,notout,4,Pakistan,Delhi,22Nov2007,Test,27179
626,649,82,146,109,12,0,75.22,4,bowled,1,Pakistan,Kolkata,30Nov2007,Test,27261
627,651,62,113,77,7,1,80.51,4,bowled,2,Australia,Melbourne,26Dec2007,Test,27323
628,652,15,31,21,1,0,71.42,4,caught,4,Australia,Melbourne,26Dec2007,Test,27338
629,653,154,429,243,14,1,63.37,4,notout,2,Australia,Sydney,2Jan2008,Test,27492
630,654,12,33,16,3,0,75.00,4,bowled,4,Australia,Sydney,2Jan2008,Test,27504
